sample_id,input_type,input,library_id
SAMN16912509,srr,SRR13166996,15778X17_NAK
SAMN16912510,srr,SRR13166995,15778X18_TUT
SAMN16912511,srr,SRR13166993,15778X19_AUT
SAMN16912512,srr,SRR13166992,15778X20_NOC
SAMN16912513,srr,SRR13166991,15778X21_TAG
SAMN16912514,srr,SRR13166990,16238X1_CAN
SAMN16912515,srr,SRR13166989,16238X2_GRA
SAMN16912516,srr,SRR13166988,16238X3_VMT
SAMN16912517,srr,SRR13166987,16238X4_BLT
SAMN16912518,srr,SRR13166986,16238X5_DAM
SAMN16912519,srr,SRR13166985,16238X6_DRA
SAMN16912520,srr,SRR13166984,16238X7_ENC
SAMN16912521,srr,SRR13166982,16238X8_ENM
SAMN16912522,srr,SRR13166981,16238X10_SCA
SAMN16912523,srr,SRR13166980,16238X11_MAC
SAMN16912524,srr,SRR13166979,16238X12_RHR
SAMN17005599,srr,SRR13203432,COLI0678
SAMN17005601,srr,SRR13203419,COLI0696
SAMN17005602,srr,SRR13203408,COLI0703
SAMN17005603,srr,SRR13203397,COLI0710
SAMN17005604,srr,SRR13203386,COLI0720
SAMN17005605,srr,SRR13203375,COLI0735
SAMN17005606,srr,SRR13203364,COLI0753
SAMN17005608,srr,SRR13203342,COLI0759
SAMN17005609,srr,SRR13203430,COLI0760
SAMN17005611,srr,SRR13203427,COLI0777
SAMN17005612,srr,SRR13203426,COLI0781
SAMN17005613,srr,SRR13203425,COLI0813
SAMN17005614,srr,SRR13203424,COLI0819
SAMN17005615,srr,SRR13203423,COLI0824
SAMN17005616,srr,SRR13203422,COLI0829
SAMN17005617,srr,SRR13203421,COLI0835
SAMN17005618,srr,SRR13203420,COLI0836
SAMN17005619,srr,SRR13203418,COLI0999
SAMN17005620,srr,SRR13203417,COLI1003
SAMN17005621,srr,SRR13203416,COLI1016
SAMN17005622,srr,SRR13203415,COLI1031
SAMN17005623,srr,SRR13203414,COLI1046
SAMN17005624,srr,SRR13203413,COLI1052
SAMN17005625,srr,SRR13203412,COLI1054
SAMN17005626,srr,SRR13203411,COLI1056
SAMN17005627,srr,SRR13203410,COLI1061
SAMN17005629,srr,SRR13203407,COLI1246
SAMN17005630,srr,SRR13203406,COLI1250
SAMN17005631,srr,SRR13203405,COLI1253
SAMN17005632,srr,SRR13203404,COLI1254
SAMN17005633,srr,SRR13203403,COLI1259
SAMN17005634,srr,SRR13203402,COLI1273
SAMN17005635,srr,SRR13203401,COLI1294
SAMN17005636,srr,SRR13203400,COLI1299
SAMN17005637,srr,SRR13203399,COLI1321
SAMN17005638,srr,SRR13203398,COLI1322
SAMN17005639,srr,SRR13203396,COLI1331
SAMN17005640,srr,SRR13203395,COLI1332
SAMN17005641,srr,SRR13203394,COLI1353
SAMN17005642,srr,SRR13203393,COLI1356
SAMN17005643,srr,SRR13203392,COLI1357
SAMN17005644,srr,SRR13203391,COLI1362
SAMN17005645,srr,SRR13203390,COLI1376
SAMN17005646,srr,SRR13203389,COLI1378
SAMN17005647,srr,SRR13203388,COLI1382
SAMN17005648,srr,SRR13203387,COLI1477
SAMN17005649,srr,SRR13203385,COLI1488
SAMN17005650,srr,SRR13203384,COLI1501
SAMN17005651,srr,SRR13203383,COLI1504
SAMN17005652,srr,SRR13203382,COLI1511
SAMN17005653,srr,SRR13203381,COLI1512
SAMN17005655,srr,SRR13203379,COLI1518
SAMN17005656,srr,SRR13203378,COLI1520
SAMN17005657,srr,SRR13203377,COLI1522
SAMN17005659,srr,SRR13203374,COLI1535
SAMN17005660,srr,SRR13203373,COLI1539
