sample_id,input_type,input,library_id
SAMN18744257,srr,SRR14534399,st2_bgi
SAMN18744258,srr,SRR14534388,st3_bgi
SAMN18744259,srr,SRR14534377,st4_bgi
SAMN18744260,srr,SRR14534366,st5_bgi
SAMN18744261,srr,SRR14534358,st6_bgi
SAMN18744262,srr,SRR14534357,st7_bgi
SAMN18744263,srr,SRR14534356,mg1_bgi
SAMN18744264,srr,SRR14534355,mg2_bgi
SAMN18744265,srr,SRR14534354,mg3_bgi
SAMN18744266,srr,SRR14534398,mg4_bgi
SAMN18744267,srr,SRR14534397,mg5_bgi
SAMN18744268,srr,SRR14534396,mg6_bgi
SAMN18744269,srr,SRR14534395,mg7_bgi
SAMN18744270,srr,SRR14534394,mg8_bgi
SAMN18744271,srr,SRR14534393,mg9_bgi
SAMN18744273,srr,SRR14534391,hz1_bgi
SAMN18744274,srr,SRR14534390,hz2_bgi
SAMN18744275,srr,SRR14534389,hz3_bgi
SAMN18744276,srr,SRR14534387,hz4_bgi
SAMN18744277,srr,SRR14534386,hz5_bgi
SAMN18744278,srr,SRR14534385,hz6_bgi
SAMN18744279,srr,SRR14534384,hz7_bgi
SAMN18744280,srr,SRR14534383,hz8_bgi
SAMN18744281,srr,SRR14534382,hz9_bgi
SAMN18744282,srr,SRR14534381,hz10_bgi
SAMN19666339,srr,SRR15011189,ABFC20191064-02
SAMN21928433,srr,SRR16146147,SG1
SAMN21928434,srr,SRR16146146,SG2
SAMN21928435,srr,SRR16146145,SG3
SAMN21928436,srr,SRR16146144,SG4
SAMN26533436,srr,SRR18273718,G_SW_1_Bl
SAMN26533437,srr,SRR18273717,G_SW_2_Bl
SAMN26533438,srr,SRR18273706,G_SW_3_Bl
SAMN26533439,srr,SRR18273695,G_SW_4_Bl
SAMN26533440,srr,SRR18273687,G_SW_5_Bl
SAMN26533441,srr,SRR18273686,G_WZ_1_Bl
SAMN26533442,srr,SRR18273685,G_WZ_2_Bl
SAMN26533443,srr,SRR18273684,G_WZ_3_Bl
SAMN26533444,srr,SRR18273683,G_WZ_4_Bl
SAMN26533445,srr,SRR18273682,G_WZ_5_Bl
SAMN26533446,srr,SRR18273716,G_WZ_6_Bl
SAMN26533447,srr,SRR18273715,G_GE_1_Bl
SAMN26533448,srr,SRR18273714,G_GE_2_Bl
SAMN26533449,srr,SRR18273713,G_GE_3_Bl
SAMN26533450,srr,SRR18273712,G_GE_4_Bl
SAMN26533451,srr,SRR18273711,G_GE_5_Bl
SAMN26533452,srr,SRR18273710,G_WX_1_Bl
SAMN26533453,srr,SRR18273709,G_WX_2_Bl
SAMN26533454,srr,SRR18273708,G_WX_3_Bl
SAMN26533455,srr,SRR18273707,G_ZD_1_Bl
SAMN26533456,srr,SRR18273705,G_ZD_2_Bl
SAMN26533457,srr,SRR18273704,G_ZD_3_Bl
SAMN26533458,srr,SRR18273703,G_ZD_4_Bl
SAMN26533459,srr,SRR18273702,G_ZD_5_Bl
SAMN26533460,srr,SRR18273701,G_ZD_6_Bl
SAMN26533461,srr,SRR18273700,G_HY_1_Bl
SAMN26533462,srr,SRR18273699,G_HY_2_Bl
SAMN26533463,srr,SRR18273698,G_HY_3_Bl
SAMN26533464,srr,SRR18273697,G_HY_4_Bl
SAMN26533465,srr,SRR18273696,G_HY_5_Bl
SAMN26533466,srr,SRR18273694,G_HY_6_Bl
SAMN26533467,srr,SRR18273693,G_ZE_1_Bl
SAMN26533468,srr,SRR18273692,G_ZE_2_Bl
SAMN26533469,srr,SRR18273691,G_ZE_3_Bl
SAMN26533470,srr,SRR18273690,G_ZE_4_Bl
SAMN26533471,srr,SRR18273689,G_ZE_5_Bl
SAMN26533472,srr,SRR18273688,G_ZE_6_Bl
SAMN26740341,srr,SRR18355645,ST1
SAMN26740350,srr,SRR18355644,HY1
SAMN26740351,srr,SRR18355647,HY2
SAMN26740352,srr,SRR18355648,HY3
SAMN28097507,srr,SRR19091393,S13_1_methy
SAMN28097507,srr,SRR19142551,S13_1_RNAseq
SAMN28097508,srr,SRR19091392,S13_2_methy
SAMN28097508,srr,SRR19142550,S13_2_RNAseq
SAMN28097509,srr,SRR19091389,S13_4_methy
SAMN28097509,srr,SRR19142547,S13_4_RNAseq
SAMN28097510,srr,SRR19091388,S17_3_methy
SAMN28097510,srr,SRR19142546,S17_3_RNAseq
SAMN28097511,srr,SRR19091387,S17_4_methy
SAMN28097511,srr,SRR19142545,S17_4_RNAseq
SAMN28097512,srr,SRR19091386,S17_6_methy
SAMN28097512,srr,SRR19142544,S17_6_RNAseq
SAMN28097513,srr,SRR19091385,S21_1_methy
SAMN28097513,srr,SRR19142543,S21_1_RNAseq
SAMN28097514,srr,SRR19091384,S21_2_methy
SAMN28097514,srr,SRR19142542,S21_2_RNAseq
SAMN28097515,srr,SRR19091383,S21_4_methy
SAMN28097515,srr,SRR19142541,S21_4_RNAseq
SAMN28097516,srr,SRR19091382,S28_2_methy
SAMN28097516,srr,SRR19142540,S28_2_RNAseq
SAMN28097517,srr,SRR19091391,S28_4_methy
SAMN28097517,srr,SRR19142549,S28_4_RNAseq
SAMN28097518,srr,SRR19091390,S28_5_methy
SAMN28097518,srr,SRR19142548,S28_5_RNAseq
SAMN28159899,srr,SRR19142646,A_9_4_ATAC
SAMN28159899,srr,SRR19142649,A_9_4_lncRNA
SAMN28159900,srr,SRR19142645,A_9_5_ATAC
SAMN28159900,srr,SRR19142648,A_9_5_lncRNA
SAMN28159901,srr,SRR19142637,A_9_6_lncRNA
SAMN28159901,srr,SRR19142644,A_9_6_ATAC
SAMN28159902,srr,SRR19142630,A_13_6_lncRNA
SAMN28159902,srr,SRR19142643,A_13_6_ATAC
SAMN28159903,srr,SRR19142629,A_13_8_lncRNA
SAMN28159903,srr,SRR19142642,A_13_8_ATAC
SAMN28159904,srr,SRR19142628,A_17_3_lncRNA
SAMN28159904,srr,SRR19142641,A_17_3_ATAC
SAMN28159905,srr,SRR19142627,A_17_5_lncRNA
SAMN28159905,srr,SRR19142640,A_17_5_ATAC
SAMN28159906,srr,SRR19142626,A_17_7_lncRNA
SAMN28159906,srr,SRR19142639,A_17_7_ATAC
SAMN28159907,srr,SRR19142625,A_20_1_lncRNA
SAMN28159907,srr,SRR19142638,A_20_1_ATAC
SAMN28159908,srr,SRR19142624,A_20_2_lncRNA
SAMN28159908,srr,SRR19142636,A_20_2_ATAC
SAMN28159909,srr,SRR19142635,A_20_4_ATAC
SAMN28159909,srr,SRR19142647,A_20_4_lncRNA
SAMN30246266,srr,SRR21057646,M2-Vas_Deferen
SAMN30246266,srr,SRR21057647,M2-Testis
SAMN30246267,srr,SRR21057644,M3-Vas_Deferen
SAMN30246267,srr,SRR21057645,M3-Testis
SAMN30246268,srr,SRR21057741,M4-Vas_Deferen
SAMN30246268,srr,SRR21057742,M4-Testis
SAMN36175366,srr,SRR25098062,HY_B1
SAMN36175367,srr,SRR25098061,HY_B2
SAMN36175368,srr,SRR25098050,HY_B3
SAMN36175369,srr,SRR25098039,HY_B4
SAMN36175370,srr,SRR25098028,HY_B5
SAMN36175371,srr,SRR25098017,HY_B6
SAMN36175372,srr,SRR25098006,HY_B7
SAMN36175373,srr,SRR25097995,HY_B8
SAMN36175374,srr,SRR25097994,HY_Y1
SAMN36175375,srr,SRR25097993,HY_Y2
SAMN36175376,srr,SRR25098060,HY_Y3
SAMN36175377,srr,SRR25098059,HY_Y4
SAMN36175378,srr,SRR25098058,HY_Y5
SAMN36175379,srr,SRR25098057,HY_Y6
SAMN36175380,srr,SRR25098056,HY_Y7
SAMN36175381,srr,SRR25098055,HY_Y8
SAMN36175382,srr,SRR25098054,HY01
SAMN36175383,srr,SRR25098053,HY02
SAMN36175384,srr,SRR25098052,HY03
SAMN36175385,srr,SRR25098051,HY04
SAMN36175386,srr,SRR25098049,HY05
SAMN36175387,srr,SRR25098048,HY06
SAMN36175388,srr,SRR25098047,HY07
SAMN36175389,srr,SRR25098046,HY08
SAMN36175390,srr,SRR25098045,HY09
SAMN36175391,srr,SRR25098044,HY10
SAMN36175392,srr,SRR25098043,HY11
SAMN36175393,srr,SRR25098042,HY12
SAMN36175394,srr,SRR25098041,HY13
SAMN36175395,srr,SRR25098040,HY15
SAMN36175396,srr,SRR25098038,HY16
SAMN36175397,srr,SRR25098037,HY17
SAMN36175398,srr,SRR25098036,HY18
SAMN36175399,srr,SRR25098035,HY19
SAMN36175400,srr,SRR25098034,HY21
SAMN36175401,srr,SRR25098033,HY22
SAMN36175402,srr,SRR25098032,HY23
SAMN36175403,srr,SRR25098031,HY24
SAMN36175404,srr,SRR25098030,HY25
SAMN36175405,srr,SRR25098029,HY26
SAMN36175406,srr,SRR25098027,HY27
